cedula;nombre;edad;correo;telefono;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanasCot;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
1104517431;Luis Martinez;49;luisarango187@gmail.com;3133697779;true;true;true;policia;true;false;false;true;false;735;Bogotá;Armenia;true;porvenir;null
1213608479;Camila Arango;57;ludwinramirez563@gmail.com;3120700354;false;true;true;policia;true;true;true;false;false;244;Pereira;Cúcuta;false;oldmutual;null
1802616637;Juan Hernandez;86;davidlopez465@gmail.com;3049957599;true;true;false;policia;false;true;false;false;true;345;Bucaramanga;Bogotá;true;oldmutual;null
1729105735;Mercedez Arango;90;anaaristizabal560@gmail.com;3009025660;true;false;false;policia;true;true;true;true;false;1088;Cúcuta;Pereira;true;extranjero;null
1725908921;David Gonzalez;68;sebastianramirez229@gmail.com;3180481870;true;true;true;minsalud;true;true;true;true;true;660;Barranquilla;Bucaramanga;true;porvenir;null
1887959029;Daniela Ortiz;22;luisramirez484@gmail.com;3085951334;false;true;true;policia;true;true;false;false;true;966;Manizales;Bucaramanga;false;oldmutual;null
1274568569;Antonia Figueroa;40;juanfigueroa654@gmail.com;3095514679;false;false;true;inpec;true;false;true;false;true;1148;Manizales;Cali;true;proteccion;null
1387769404;Luis Hernandez;50;danielalopez616@gmail.com;3186255901;false;true;false;mininterior;false;true;false;true;true;902;Medellín;Cali;false;porvenir;null
1065563233;Natalia Arango;42;camilagonzalez973@gmail.com;3005527231;false;true;false;armada;true;false;false;false;false;774;Armenia;Cúcuta;false;porvenir;null
1391096764;Natalia Hernandez;20;estebangutierrez455@gmail.com;3044397910;false;true;false;policia;true;true;true;false;false;747;Cali;Barranquilla;false;colfondos;null
1155170559;Camila Hernandez;51;ludwinramirez961@gmail.com;3144763777;true;false;false;mininterior;true;false;true;false;true;461;Armenia;Barranquilla;true;colfondos;null
1184039718;Daniela Arango;21;danielamartinez649@gmail.com;3001533969;true;false;false;policia;false;false;false;true;true;428;Bucaramanga;Cartagena;false;extranjero;null
1879433866;Ludwin Arango;86;juanortiz661@gmail.com;3112978448;true;false;false;inpec;true;true;true;true;true;667;Bucaramanga;Manizales;false;oldmutual;null
1871792448;Juan Martinez;37;nataliaramirez366@gmail.com;3050513832;false;false;true;mininterior;true;false;true;false;false;908;Barranquilla;Barranquilla;false;colfondos;null
1714962168;Ludwin Hernandez;28;juanhernandez1@gmail.com;3137206250;false;true;true;inpec;true;false;true;true;false;517;Armenia;Cali;true;proteccion;null
1290736530;Juan Lopez;81;estebanfigueroa228@gmail.com;3031159083;false;false;true;inpec;true;false;true;false;false;667;Manizales;Bogotá;true;proteccion;null
1094238977;Natalia Arango;28;sebastianramirez619@gmail.com;3052999986;false;false;true;armada;false;false;true;true;true;78;Cali;Cali;true;extranjero;null
1173527621;Sebastian Aristizabal;89;mercedezarango664@gmail.com;3039941374;true;true;false;mininterior;false;true;true;false;false;122;Santa Marta;Bogotá;false;porvenir;null
1665427095;Daniela Hernandez;78;davidortiz539@gmail.com;3106195428;true;true;true;minsalud;false;true;false;false;false;53;Bucaramanga;Cartagena;false;proteccion;null
1750506151;Luis Arango;71;juanramirez339@gmail.com;3141589779;false;false;true;minsalud;true;false;false;false;false;503;Barranquilla;Pereira;false;oldmutual;null
1234036092;Ludwin Lopez;68;estebanlopez249@gmail.com;3053720145;true;false;true;mininterior;false;true;true;false;true;76;Cartagena;Cartagena;false;porvenir;null
1822430423;David Gonzalez;22;sebastianhernandez463@gmail.com;3134032038;false;false;false;policia;false;true;true;true;true;11;Barranquilla;Cartagena;false;porvenir;null
1873220607;Daniela Gutierrez;31;anaramirez136@gmail.com;3133525412;false;false;false;inpec;true;true;true;false;false;628;Cartagena;Cúcuta;false;porvenir;null
1052686770;Natalia Gutierrez;31;davidmartinez512@gmail.com;3000776953;true;false;true;policia;true;true;true;false;false;13;Medellín;Pereira;true;proteccion;null
1848055316;Mercedez Gutierrez;60;danielagonzalez629@gmail.com;3023043424;false;false;false;armada;true;false;true;true;true;698;Medellín;Cali;false;porvenir;null
1090664429;Luis Figueroa;49;luisgonzalez53@gmail.com;3127791293;true;true;true;inpec;false;false;false;true;true;658;Manizales;Bogotá;true;oldmutual;null
1666113645;Luis Gutierrez;86;davidfigueroa817@gmail.com;3033599492;true;true;true;minsalud;false;false;true;true;false;1246;Pereira;Medellín;true;porvenir;null
1396978696;Ana Martinez;49;danielaortiz198@gmail.com;3078556814;true;false;true;inpec;false;true;false;true;false;417;Bogotá;Cartagena;false;extranjero;null
1679184883;Ludwin Gonzalez;84;sebastianmartinez80@gmail.com;3117525276;true;false;false;armada;true;true;false;false;true;996;Manizales;Pereira;false;colfondos;null
1658400690;Antonia Martinez;27;estebanfigueroa121@gmail.com;3164999684;false;true;false;policia;false;true;true;true;false;1098;Manizales;Pereira;true;colfondos;null
1409651232;Mercedez Figueroa;67;antonialopez221@gmail.com;3150264506;true;false;true;policia;true;true;false;true;true;109;Cali;Bucaramanga;true;oldmutual;null
1756336411;Camila Gutierrez;24;davidarango334@gmail.com;3151837999;true;false;false;policia;false;false;true;true;true;516;Bogotá;Cúcuta;false;colfondos;null
