cedula;nombre;edad;correo;telefono;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanasCot;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
1314522602;Daniela Arango;40;juanfigueroa433@gmail.com;3044436343;false;true;false;armada;true;false;true;false;false;808;Pereira;Armenia;true;extranjero;null
1761930201;Antonia Ortiz;23;luisgonzalez250@gmail.com;3109904086;false;false;false;mininterior;false;false;true;false;true;444;Bucaramanga;Cúcuta;true;colfondos;null
1545175504;Esteban Figueroa;54;anaramirez393@gmail.com;3092413825;true;true;false;mininterior;false;false;true;true;true;1066;Armenia;Santa Marta;true;porvenir;null
1538690484;Camila Arango;29;sebastianfigueroa697@gmail.com;3124269486;false;true;true;mininterior;true;true;false;false;false;630;Cali;Bucaramanga;false;porvenir;null
1865374665;Sebastian Hernandez;40;luisortiz657@gmail.com;3149504729;true;false;false;policia;false;true;true;false;true;688;Cúcuta;Bucaramanga;true;porvenir;null
1844914426;Mercedez Gutierrez;51;davidhernandez652@gmail.com;3007313605;true;false;false;inpec;false;true;false;true;false;1158;Bogotá;Santa Marta;true;extranjero;null
1315673341;Ludwin Martinez;83;ludwinlopez818@gmail.com;3140021646;false;false;false;minsalud;true;false;false;false;false;846;Bucaramanga;Barranquilla;true;oldmutual;null
1553334149;Esteban Ramirez;73;luishernandez968@gmail.com;3186562134;true;false;false;armada;true;true;false;false;true;223;Medellín;Cúcuta;false;extranjero;null
1657176424;David Ortiz;27;ludwingutierrez851@gmail.com;3056152427;true;true;false;policia;false;true;true;false;false;455;Bucaramanga;Santa Marta;true;colfondos;null
1156780776;Luis Hernandez;53;mercedezmartinez672@gmail.com;3040537735;true;false;true;mininterior;false;true;true;false;true;854;Manizales;Cartagena;true;extranjero;null
1181663979;Antonia Ortiz;77;estebanlopez281@gmail.com;3178903018;true;false;false;mininterior;false;false;true;true;false;635;Pereira;Pereira;true;proteccion;null
1382435581;Antonia Lopez;38;davidortiz463@gmail.com;3171743176;false;true;false;armada;true;true;false;false;false;890;Manizales;Santa Marta;false;extranjero;null
