cedula;nombre;edad;correo;telefono;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanasCot;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
1267538461;Ana Ramirez;69;davidarango981@gmail.com;3053818082;false;true;true;mininterior;false;true;true;false;true;572;Pereira;Barranquilla;false;proteccion;null
1732221936;Natalia Hernandez;76;sebastianramirez201@gmail.com;3199635885;false;false;false;policia;false;true;false;true;false;1140;Bucaramanga;Cartagena;true;extranjero;null
1103586911;Sebastian Figueroa;25;ludwinortiz436@gmail.com;3051751081;true;true;false;minsalud;true;true;true;false;false;88;Cúcuta;Cartagena;false;proteccion;null
1596494552;Esteban Aristizabal;83;anaramirez615@gmail.com;3169520154;true;true;false;policia;true;false;false;false;false;222;Santa Marta;Bucaramanga;false;porvenir;null
1344235321;Esteban Hernandez;89;nataliahernandez686@gmail.com;3066097719;true;false;false;policia;false;true;false;false;true;1064;Medellín;Cali;true;porvenir;null
1396256007;Luis Gonzalez;65;ludwinhernandez500@gmail.com;3158804124;true;true;false;inpec;false;true;false;true;false;1020;Pereira;Armenia;true;colfondos;null
1549186867;Ana Ortiz;71;antonialopez964@gmail.com;3068482449;false;false;false;mininterior;true;false;true;true;false;487;Bucaramanga;Armenia;true;colfondos;null
1627869384;Ludwin Aristizabal;18;ludwinortiz421@gmail.com;3087989997;false;true;false;armada;true;true;false;true;true;875;Barranquilla;Manizales;true;oldmutual;null
1828552568;Juan Gutierrez;47;mercedezramirez815@gmail.com;3047244939;false;false;false;mininterior;true;true;true;true;false;788;Cartagena;Bogotá;true;proteccion;null
1732226249;Mercedez Arango;60;danielamartinez818@gmail.com;3178992420;false;true;false;mininterior;false;false;true;false;true;621;Santa Marta;Pereira;false;colfondos;null
1343487559;Camila Gutierrez;55;ludwingonzalez513@gmail.com;3183162523;true;false;true;armada;true;true;true;true;true;125;Armenia;Medellín;false;proteccion;null
1507832376;Sebastian Gonzalez;71;estebanlopez450@gmail.com;3072302139;false;true;true;minsalud;true;true;true;true;true;671;Bogotá;Barranquilla;false;extranjero;null
1149543359;Juan Gonzalez;73;antoniagonzalez398@gmail.com;3165910374;false;false;true;policia;true;false;false;false;false;446;Cali;Cali;true;porvenir;null
1829741484;Antonia Figueroa;36;anaaristizabal871@gmail.com;3091478944;true;true;true;inpec;true;true;false;true;false;259;Armenia;Cartagena;false;oldmutual;null
