cedula;nombre;edad;correo;telefono;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanasCot;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
1266727415;Natalia Aristizabal;27;nataliafigueroa573@gmail.com;3174622540;true;true;false;inpec;true;true;false;true;true;224;Cartagena;Cali;false;proteccion;null
1252168292;Esteban Ortiz;76;ludwinlopez82@gmail.com;3111043428;true;true;true;minsalud;true;false;true;true;false;158;Pereira;Cúcuta;false;oldmutual;null
1591828154;David Ortiz;80;sebastianhernandez125@gmail.com;3193963382;true;true;false;policia;true;true;false;false;true;1183;Manizales;Cúcuta;false;oldmutual;null
1368702069;David Figueroa;61;ludwingonzalez656@gmail.com;3086032144;false;true;true;policia;true;false;false;false;true;743;Cúcuta;Manizales;false;proteccion;null
1651647169;Mercedez Martinez;54;davidlopez987@gmail.com;3165438400;false;true;true;minsalud;true;false;false;true;false;657;Armenia;Barranquilla;false;porvenir;null
1648212429;Camila Figueroa;51;nataliahernandez657@gmail.com;3070788186;true;false;true;minsalud;true;true;false;true;true;288;Barranquilla;Bogotá;false;colfondos;null
1076684001;Daniela Lopez;58;analopez540@gmail.com;3009261883;false;false;false;inpec;false;false;false;true;true;778;Cartagena;Pereira;true;porvenir;null
1433797479;Juan Ramirez;56;ludwinortiz120@gmail.com;3096626741;true;false;true;inpec;true;false;true;true;true;298;Bucaramanga;Cartagena;false;extranjero;null
1449125793;Camila Lopez;27;danielaortiz317@gmail.com;3187593478;true;true;false;mininterior;false;true;false;false;true;992;Cúcuta;Barranquilla;false;extranjero;null
1095403018;Natalia Ramirez;79;luisfigueroa417@gmail.com;3116363544;true;true;false;inpec;true;true;true;true;true;1138;Armenia;Bogotá;true;extranjero;null
1221007122;Luis Martinez;82;luisarango320@gmail.com;3162488115;false;true;true;armada;false;false;false;false;false;16;Barranquilla;Medellín;false;extranjero;null
1367755857;Esteban Figueroa;73;anagutierrez361@gmail.com;3177579187;false;true;true;minsalud;true;true;false;true;false;1182;Cúcuta;Santa Marta;true;extranjero;null
1003654109;David Figueroa;46;mercedezgutierrez648@gmail.com;3106578491;true;true;false;minsalud;false;true;true;true;true;1201;Bogotá;Bucaramanga;true;proteccion;null
1847483608;David Gonzalez;58;mercedezaristizabal48@gmail.com;3109698644;false;true;false;mininterior;true;true;false;false;true;1120;Pereira;Bucaramanga;true;colfondos;null
1423916003;Ana Hernandez;60;mercedezaristizabal71@gmail.com;3050851052;true;false;true;policia;false;true;false;true;false;1254;Cartagena;Medellín;false;proteccion;null
1802929796;Camila Lopez;46;mercedezlopez673@gmail.com;3126383424;true;false;true;mininterior;true;false;true;false;true;647;Santa Marta;Barranquilla;false;colfondos;null
1093708498;Ana Lopez;67;mercedezhernandez258@gmail.com;3151420525;false;true;false;minsalud;true;false;false;false;false;755;Cúcuta;Medellín;false;proteccion;null
1052666794;Ana Lopez;24;davidfigueroa917@gmail.com;3001699927;false;true;true;armada;true;false;false;false;false;1185;Barranquilla;Cali;true;oldmutual;null
1256746490;Esteban Arango;64;anaramirez480@gmail.com;3036117362;true;true;true;minsalud;false;false;false;true;true;583;Armenia;Barranquilla;false;porvenir;null
1041165498;Ludwin Hernandez;25;estebanarango903@gmail.com;3025170778;false;true;true;armada;true;false;false;true;false;942;Santa Marta;Armenia;false;proteccion;null
1582267205;Ana Hernandez;40;ludwingonzalez501@gmail.com;3190909510;false;true;true;policia;true;true;false;false;false;572;Santa Marta;Bucaramanga;false;oldmutual;null
1806708773;Daniela Gonzalez;86;mercedezarango965@gmail.com;3073746242;true;true;true;armada;true;true;true;true;true;261;Barranquilla;Santa Marta;false;colfondos;null
1077883680;Ludwin Gonzalez;57;estebanarango534@gmail.com;3081960151;false;true;true;inpec;false;false;false;false;true;303;Cúcuta;Bogotá;false;colfondos;null
1235878853;Camila Hernandez;30;anaramirez780@gmail.com;3078515053;true;false;true;inpec;true;false;false;false;true;528;Cartagena;Manizales;true;colfondos;null
1556855047;Ana Gonzalez;34;danielaramirez288@gmail.com;3076099386;false;true;true;minsalud;false;true;false;true;true;143;Cúcuta;Cartagena;false;porvenir;null
1821259555;David Gonzalez;80;sebastianarango12@gmail.com;3158389842;true;false;false;policia;false;false;false;false;true;1238;Cúcuta;Cartagena;true;porvenir;null
1707088542;Ana Aristizabal;30;ludwinmartinez589@gmail.com;3036483508;true;true;false;policia;false;true;true;false;true;1102;Cúcuta;Barranquilla;false;proteccion;null
1825150618;Antonia Figueroa;53;luisramirez936@gmail.com;3074575215;false;false;true;minsalud;false;true;true;false;true;354;Bucaramanga;Cali;false;colfondos;null
1578473344;Juan Arango;70;davidaristizabal905@gmail.com;3059133987;true;false;false;mininterior;true;true;true;false;true;729;Cúcuta;Medellín;true;porvenir;null
1847825089;Luis Lopez;83;danielagonzalez654@gmail.com;3035988283;false;true;false;inpec;false;false;true;true;false;113;Cali;Cartagena;true;oldmutual;null
1613674723;Mercedez Figueroa;89;estebangutierrez996@gmail.com;3096856396;false;true;false;minsalud;false;false;true;false;false;464;Armenia;Pereira;true;porvenir;null
1386403285;Mercedez Martinez;52;mercedezarango70@gmail.com;3097135439;false;false;true;armada;true;false;true;false;true;1158;Medellín;Armenia;true;proteccion;null
1778422548;Daniela Aristizabal;77;anaarango380@gmail.com;3118003029;true;false;false;policia;false;true;true;false;false;1;Armenia;Bucaramanga;true;proteccion;null
1381683398;Luis Ortiz;76;mercedezortiz646@gmail.com;3069975724;false;true;false;policia;true;false;true;false;true;762;Armenia;Bucaramanga;true;proteccion;null
1558769827;Mercedez Ramirez;43;sebastianmartinez307@gmail.com;3189980030;true;false;false;armada;true;true;false;true;false;1031;Medellín;Santa Marta;false;porvenir;null
1390460476;Luis Martinez;62;ludwinlopez943@gmail.com;3191806338;true;true;false;inpec;false;true;false;false;true;45;Bogotá;Santa Marta;false;proteccion;null
1294509786;Sebastian Aristizabal;88;nataliaaristizabal72@gmail.com;3046632198;false;true;false;inpec;false;true;true;false;true;1299;Santa Marta;Manizales;true;colfondos;null
1330798199;Juan Hernandez;31;mercedezfigueroa946@gmail.com;3097144237;false;true;false;armada;true;false;true;true;false;1192;Armenia;Cali;true;colfondos;null
1709735759;Natalia Aristizabal;53;danielalopez804@gmail.com;3075812676;true;true;false;mininterior;true;true;false;false;true;111;Bucaramanga;Barranquilla;false;colfondos;null
1400065913;Luis Ramirez;72;camilalopez575@gmail.com;3047014452;false;true;false;policia;true;false;true;true;false;603;Pereira;Manizales;true;porvenir;null
1549791931;Natalia Aristizabal;28;nataliaarango536@gmail.com;3052131920;true;false;false;armada;false;false;false;true;true;509;Cúcuta;Pereira;false;colfondos;null
1377078420;Mercedez Ramirez;54;luislopez567@gmail.com;3097478102;false;true;false;policia;false;false;true;false;true;326;Cúcuta;Cúcuta;true;extranjero;null
1509211384;David Ramirez;71;danielaortiz806@gmail.com;3000235583;true;true;true;mininterior;false;true;false;false;true;768;Armenia;Cartagena;true;proteccion;null
1782776533;Daniela Ortiz;47;mercedezgutierrez823@gmail.com;3085865359;false;true;true;inpec;false;true;false;true;true;293;Cali;Cúcuta;false;colfondos;null
1120040798;David Martinez;78;juanortiz784@gmail.com;3173294162;true;false;false;inpec;false;true;false;false;false;902;Pereira;Bucaramanga;true;extranjero;null
1813265211;Sebastian Aristizabal;86;luismartinez855@gmail.com;3143872657;false;false;false;armada;false;true;false;true;true;800;Cali;Medellín;false;oldmutual;null
1508552913;Luis Lopez;18;davidarango193@gmail.com;3043232332;false;false;false;inpec;false;true;false;true;false;277;Cartagena;Armenia;true;extranjero;null
1691433125;Mercedez Ramirez;66;nataliamartinez686@gmail.com;3002085743;true;true;false;armada;true;true;false;true;true;566;Pereira;Santa Marta;false;oldmutual;null
1643596093;Esteban Ramirez;48;luisaristizabal968@gmail.com;3120656404;true;false;false;policia;true;false;true;true;false;343;Medellín;Bucaramanga;false;proteccion;null
1414308084;Sebastian Ramirez;84;luishernandez228@gmail.com;3120444144;false;true;false;policia;false;true;true;true;false;1015;Barranquilla;Bogotá;false;oldmutual;null
1740903121;Juan Gutierrez;87;estebanarango304@gmail.com;3176943147;true;true;true;armada;false;false;true;false;true;752;Barranquilla;Bogotá;false;extranjero;null
1413161021;Ludwin Hernandez;69;camilaramirez186@gmail.com;3123543000;false;true;false;minsalud;false;true;false;false;true;382;Pereira;Barranquilla;true;oldmutual;null
1517654709;Luis Figueroa;48;luisgutierrez380@gmail.com;3128399816;false;false;false;inpec;true;false;false;true;false;204;Bogotá;Cali;false;oldmutual;null
1076088371;Juan Hernandez;31;juanarango604@gmail.com;3176003121;true;false;false;minsalud;false;false;true;true;true;1133;Manizales;Cúcuta;false;colfondos;null
1713274595;Ana Ramirez;81;ludwinlopez54@gmail.com;3033334082;false;true;false;mininterior;true;false;true;true;true;231;Bogotá;Santa Marta;true;colfondos;null
1020297609;Juan Ramirez;90;estebanramirez441@gmail.com;3171571602;false;true;false;armada;false;false;false;false;true;857;Bucaramanga;Cúcuta;true;oldmutual;null
1618676078;Ana Hernandez;87;juangutierrez972@gmail.com;3120876339;false;false;true;armada;true;false;true;false;true;835;Bucaramanga;Santa Marta;true;proteccion;null
1083895477;Ana Martinez;66;davidlopez892@gmail.com;3085910346;true;true;false;minsalud;false;false;true;true;true;361;Medellín;Armenia;false;proteccion;null
1366731516;Juan Aristizabal;69;antoniaramirez424@gmail.com;3075910485;true;false;false;inpec;true;true;true;true;true;591;Santa Marta;Bucaramanga;false;oldmutual;null
1626742981;Ludwin Martinez;65;juangonzalez356@gmail.com;3105017583;true;true;false;policia;true;true;true;false;false;581;Manizales;Cali;false;colfondos;null
1725039362;Ludwin Gonzalez;77;anaarango557@gmail.com;3121940094;true;true;false;inpec;false;true;true;false;false;165;Pereira;Bogotá;false;colfondos;null
1510274361;Camila Lopez;79;camilagonzalez661@gmail.com;3143530508;false;true;true;inpec;false;false;true;false;true;1052;Manizales;Medellín;true;colfondos;null
1128798972;Juan Ortiz;81;sebastianhernandez315@gmail.com;3081877391;true;true;false;minsalud;false;false;false;false;false;118;Cúcuta;Bogotá;true;extranjero;null
1246570529;Mercedez Gutierrez;22;estebanhernandez12@gmail.com;3025875997;true;false;true;minsalud;true;true;true;true;true;550;Bucaramanga;Bogotá;true;oldmutual;null
1363241627;Camila Aristizabal;59;danielagutierrez654@gmail.com;3029146449;false;true;true;mininterior;false;false;false;false;false;710;Manizales;Manizales;false;extranjero;null
1746975933;Mercedez Arango;51;anaarango789@gmail.com;3063471828;true;false;false;armada;false;true;true;true;false;825;Bogotá;Santa Marta;true;extranjero;null
1182106310;Juan Hernandez;84;davidarango557@gmail.com;3017555023;false;false;true;policia;false;true;false;true;true;978;Cali;Pereira;false;extranjero;null
1653634530;David Gutierrez;65;antoniamartinez577@gmail.com;3040760084;false;false;true;mininterior;false;false;true;true;false;268;Medellín;Cartagena;false;porvenir;null
1633087211;Mercedez Gonzalez;18;antoniaarango897@gmail.com;3017162850;false;true;false;mininterior;true;false;false;true;false;539;Santa Marta;Cartagena;false;proteccion;null
1002999077;Ludwin Ramirez;37;nataliaortiz385@gmail.com;3099664675;false;false;false;minsalud;false;true;false;true;false;987;Manizales;Santa Marta;false;proteccion;null
1027465633;Juan Lopez;84;camilaortiz332@gmail.com;3194351998;false;true;true;mininterior;true;false;false;true;true;631;Santa Marta;Armenia;true;porvenir;null
1484750239;Daniela Gutierrez;21;anaortiz582@gmail.com;3185576119;false;true;true;mininterior;true;false;false;false;false;504;Manizales;Bucaramanga;true;proteccion;null
1776233634;Sebastian Ortiz;65;juanortiz393@gmail.com;3132226300;false;true;false;minsalud;false;false;true;false;true;619;Manizales;Cúcuta;false;proteccion;null
1647440700;Mercedez Ortiz;73;danielahernandez441@gmail.com;3055734564;true;true;false;mininterior;true;true;false;true;true;332;Cartagena;Bogotá;true;colfondos;null
1481153517;Mercedez Lopez;45;danielaarango470@gmail.com;3146803347;true;false;false;inpec;true;false;true;true;true;859;Armenia;Santa Marta;true;extranjero;null
1553392991;Camila Gonzalez;26;estebanmartinez626@gmail.com;3109843038;false;false;true;mininterior;false;true;false;false;false;1111;Pereira;Medellín;true;extranjero;null
1406434787;Esteban Lopez;83;estebangutierrez167@gmail.com;3113280621;false;true;false;policia;true;true;true;false;true;374;Bogotá;Armenia;false;porvenir;null
1783272381;Antonia Gonzalez;61;luisortiz872@gmail.com;3086560461;true;false;true;minsalud;false;true;false;false;false;35;Armenia;Armenia;true;colfondos;null
1869677746;David Arango;32;camilaramirez495@gmail.com;3056996500;true;true;true;minsalud;false;false;true;false;true;145;Bogotá;Medellín;true;colfondos;null
1271998941;Natalia Gonzalez;33;mercedezmartinez272@gmail.com;3096085594;true;false;true;policia;true;false;true;false;true;1003;Cali;Medellín;true;oldmutual;null
1753392190;Antonia Gonzalez;27;luisarango537@gmail.com;3056217336;true;false;false;inpec;true;false;true;false;false;187;Manizales;Cúcuta;true;oldmutual;null
1570851658;David Ortiz;83;danielaaristizabal899@gmail.com;3122358304;true;false;false;mininterior;true;false;false;true;false;603;Cali;Cali;false;extranjero;null
1740984227;Esteban Arango;20;antoniaaristizabal864@gmail.com;3053721905;false;false;true;armada;true;false;true;true;false;579;Bucaramanga;Santa Marta;false;proteccion;null
1632466203;Daniela Martinez;20;sebastianramirez299@gmail.com;3148816545;false;false;true;policia;true;true;true;true;true;147;Cartagena;Cali;true;extranjero;null
1713608279;Esteban Gonzalez;69;antonialopez884@gmail.com;3071314694;true;true;false;minsalud;false;true;true;true;false;1019;Barranquilla;Santa Marta;true;extranjero;null
1845799904;Mercedez Hernandez;51;mercedezgonzalez0@gmail.com;3026245087;false;true;false;inpec;true;false;false;true;true;969;Bogotá;Santa Marta;false;proteccion;null
1649747093;Camila Ortiz;56;natalialopez42@gmail.com;3161688880;true;false;false;inpec;false;false;true;true;false;673;Cúcuta;Bucaramanga;true;colfondos;null
1096251264;Luis Martinez;30;davidarango871@gmail.com;3133307391;true;false;false;policia;true;true;false;false;true;1293;Bucaramanga;Barranquilla;true;extranjero;null
1317484399;Sebastian Martinez;88;antoniaarango907@gmail.com;3050326839;true;true;false;inpec;true;false;true;true;false;561;Santa Marta;Armenia;false;proteccion;null
1857332675;Antonia Ramirez;88;estebanaristizabal705@gmail.com;3051568811;false;false;true;mininterior;false;true;false;true;true;155;Bogotá;Barranquilla;false;oldmutual;null
1505630439;Esteban Martinez;81;juanortiz331@gmail.com;3034570961;true;true;true;armada;true;true;true;true;false;534;Barranquilla;Manizales;false;oldmutual;null
1824693288;Esteban Figueroa;35;nataliagutierrez550@gmail.com;3194972143;true;true;true;armada;false;true;true;false;true;922;Armenia;Bogotá;true;proteccion;null
1145034279;Natalia Figueroa;65;antoniagonzalez288@gmail.com;3124262288;true;false;true;inpec;false;false;true;true;true;255;Medellín;Cali;true;oldmutual;null
1073289975;Esteban Aristizabal;32;antoniaortiz657@gmail.com;3006290950;false;false;true;policia;true;true;false;false;false;945;Bogotá;Pereira;false;porvenir;null
1277581583;Natalia Ortiz;79;estebanramirez953@gmail.com;3084421963;true;false;true;armada;true;false;false;true;false;778;Bogotá;Santa Marta;true;extranjero;null
1726444742;Juan Hernandez;49;mercedezlopez77@gmail.com;3099980434;true;false;false;mininterior;false;true;false;true;true;1264;Manizales;Cúcuta;true;porvenir;null
1716440457;Juan Lopez;71;mercedezlopez194@gmail.com;3173606642;true;false;true;inpec;true;true;false;false;false;682;Pereira;Medellín;false;porvenir;null
1541019978;Daniela Ortiz;80;anafigueroa534@gmail.com;3096660980;false;false;false;minsalud;true;false;false;false;true;506;Barranquilla;Cúcuta;false;colfondos;null
1867027982;Juan Figueroa;28;estebanaristizabal632@gmail.com;3019722524;false;true;false;armada;false;true;false;true;true;664;Cúcuta;Bogotá;true;porvenir;null
1471472540;Sebastian Martinez;20;juanhernandez54@gmail.com;3105331115;true;true;true;inpec;false;true;true;false;false;824;Bucaramanga;Manizales;false;oldmutual;null
